name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Zeyna Bistro Bar,ChIJf__0oe2F2EcRcLPOUQhYzQ8,"3 Corn Exchange, Bishop's Stortford CM23 3UU, UK",51.8711796,0.1587797,4.8,99.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 658728,http://www.zeynabistrobar.co.uk/,
Giggling Squid - Bishop's Stortford,ChIJL5DA46SF2EcRdyMgT7X4KkE,"2-4 North St, Bishop's Stortford CM23 2LQ, UK",51.8714556,0.1589539,4.4,572.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503427,https://www.gigglingsquid.com/restaurant/bishop-stortford/?utm_source=google&utm_medium=organic&utm_campaign=business&utm_content=bishop-stortford&y_source=1_MjU0Njc4MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Caffeinn,ChIJIwhfkz2F2EcR26ANSUMaIwg,"Florence Walk, North St, Bishop's Stortford CM23 2NZ, UK",51.872314,0.159115,4.6,164.0,,"cafe, restaurant, food, store, point_of_interest, establishment",OPERATIONAL,01279 501275,https://caffeinn.edan.io/,
Nuwairah’s - Bar and Restaurant,ChIJv1r4sfGF2EcRGxQBPDaQdbo,"9 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8732912,0.1588414,3.9,20.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801266,https://nuwairahs.co.uk/,
Fried Tubs,ChIJAQAHij2F2EcRtVEQNysMaLE,"9 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8732912,0.1588414,3.0,3.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801268,https://friedtubs.co.uk/,
Between Buns,ChIJAQAHij2F2EcRFcFTZirdYWE,"9 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8732912,0.1588414,4.8,16.0,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801268,https://betweenbuns.co.uk/,
Sushi and shake,ChIJZYB_X92F2EcRacgact-wF9E,"9 Northgate End, Bishop's Stortford CM23 2ET, UK",51.8732912,0.1588414,3.3,150.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801267,http://www.sushiandshakes.com/,
Sushi Daily Bishop's Stortford,ChIJv7Ww79iF2EcRn8SJGb71jHo,"Northgate End, Bishop's Stortford CM23 2BA, UK",51.8730699,0.160013,5.0,6.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 466556,https://sushidaily.com/gb-en/?utm_source=google&utm_medium=local&utm_content=UK&utm_term=UK0001,
SUKIRA,ChIJ_9ihZvmF2EcRXKBqRoFmDoE,"23 Potter St, Bishop's Stortford CM23 3UH, UK",51.87028900000001,0.160032,4.8,18.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",CLOSED_TEMPORARILY,01279 956963,,
Ohba Leaf Kitchen BISHOP'S STORTFORD,ChIJ2b4folaF2EcRb6CK1qhJk_U,"23 Potter St, Bishop's Stortford CM23 3UH, UK",51.870286,0.1600465,4.7,46.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 886562,https://ohbaleaf.co.uk/,
Smokyy Egg,ChIJedIUVYqF2EcRKSPkmuvF5Jo,"23 Potter St, Bishop's Stortford CM23 3UH, UK",51.870286,0.1600465,4.8,146.0,,"restaurant, bakery, meal_takeaway, store, food, point_of_interest, establishment",OPERATIONAL,,https://smokyyegg.co.uk/,
Ruby's Indian Takeaway Bishop’s Stortford,ChIJwcC8_zuF2EcRXgc-U9iAcgM,"5 Newtown Rd, Bishop's Stortford CM23 3SA, UK",51.8679133,0.1604605,3.8,118.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 912929,https://www.rubys.org.uk/,
Caribbean mixup Ltd,ChIJj5W25kaF2EcR_fNdm5gBr5A,"8 Station Rd, Bishop's Stortford CM23 3BL, UK",51.8678089,0.1615785,4.7,19.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801285,http://www.caribbeanmixup.com/,
Wich & Crust,ChIJnz1mHH6F2EcRu-GkyCRnxTA,"Bishops Stortford Railway, Station, Station Rd, Bishop's Stortford CM23 3BL, UK",51.86652809999999,0.1649733,4.7,52.0,,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,,https://deliveroo.co.uk/menu/london/bishops-stortford/wich-and-crust,
Mint Leaf,ChIJ-eN7QTiF2EcRlPX6gPGjOn8,"Millers One, Southmill Rd, Bishop's, Stortford CM23 3DH, UK",51.8643684,0.1632606,4.2,122.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 655660,https://mintleafonline.com/,
Pizza Edge,ChIJqTpRODiF2EcRy6BuX3cjf5c,"3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644188,0.163737,5.0,1.0,,"restaurant, meal_takeaway, food, point_of_interest, establishment",CLOSED_TEMPORARILY,01279 755665,,
Pisces Oceanic Street Food,ChIJvcf-GPOF2EcRHdbnxcTQjxI,"Sheppards Hut, Millars One, 3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8642905,0.1635786,5.0,1.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,07930 387794,,
Fish Inn Kebab,ChIJRw0mHDCF2EcRzv_zMQe5fk0,"51 Elizabeth Rd, Bishop's Stortford CM23 3RL, UK",51.8619017,0.1549402,4.1,100.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503088,https://www.fishinnkebab.com/,
Lee Garden,ChIJ_w3PGDCF2EcRn4yVfUyWZOs,"45 Elizabeth Rd, Havers Ln, Bishop's Stortford CM23 3RL, UK",51.861794,0.1549664,4.0,62.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 652724,http://www.leegardenbs.co.uk/,
ELL tacos and churros,ChIJVR6b6TmF2EcRG5JO0Ugj1Sc,"2B Rhodes Ave, Bishop's Stortford CM23 3JL, UK",51.8619348,0.1628515,4.6,157.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 504898,https://ellchurros.co.uk/,
The Fish Yard,ChIJp1uja2mF2EcR22KhtXtqKuM,"6 Snowley Parade, Bishop's Stortford CM23 5EP, UK",51.8771065,0.1739205,4.3,256.0,1.0,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 508686,,
Dawn's Gardens,ChIJoRkWgqCF2EcRq9OqdLHX8zk,"136 London Rd, Bishop's Stortford CM23 3LQ, UK",51.859444,0.1641499,3.9,60.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654336,https://dawnsgardens.co.uk/,
Flames Grill - Bishop’s Stortford,ChIJu0zKlSmF2EcR45Nz0f2OJf8,"4, Thorley Neighbourhood Centre, Bishop's Stortford CM23 4EG, UK",51.8582929,0.144761,3.4,136.0,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654666,https://flamesgrillbishopsstortford.com/,
